Index;surface_yx_20/10.min(epsX) [%];surface_yx_20/10.max(epsX) [%];surface_yx_20/10.avg(epsX) [%];surface_yx_30/15.min(epsX) [%];surface_yx_30/15.max(epsX) [%];surface_yx_30/15.avg(epsX) [%];surface_yx_40/20.min(epsX) [%];surface_yx_40/20.max(epsX) [%];surface_yx_40/20.avg(epsX) [%];surface_yx_20/10.min(epsY) [%];surface_yx_20/10.max(epsY) [%];surface_yx_20/10.avg(epsY) [%];surface_yx_30/15.min(epsY) [%];surface_yx_30/15.max(epsY) [%];surface_yx_30/15.avg(epsY) [%];surface_yx_40/20.min(epsY) [%];surface_yx_40/20.max(epsY) [%];surface_yx_40/20.avg(epsY) [%];surface_yx_20/10.min(patQ) [];surface_yx_20/10.max(patQ) [];surface_yx_20/10.avg(patQ) [];surface_yx_30/15.min(patQ) [];surface_yx_30/15.max(patQ) [];surface_yx_30/15.avg(patQ) [];surface_yx_40/20.min(patQ) [];surface_yx_40/20.max(patQ) [];surface_yx_40/20.avg(patQ) []
11;-0.793273;0.801805;0.035689;-0.583063;0.446723;0.030342;-0.108400;0.384754;0.034298;-2.616066;1.013065;-0.304836;-2.362089;0.331932;-0.289448;-2.276423;0.216718;-0.289678;2.111220;8.813976;5.106934;2.809274;8.427384;5.232676;2.822343;8.291831;5.348111
12;-0.767798;0.943689;0.108671;-1.116624;0.583914;0.102783;-0.037407;0.505150;0.106363;-2.940021;0.637467;-0.629482;-2.684079;0.027850;-0.611705;-2.613343;0.014902;-0.613907;2.145669;8.948819;5.107972;2.781277;8.462817;5.233720;2.837352;8.470472;5.350839
13;-0.868438;0.749240;0.028911;-0.867449;0.464515;0.023616;-0.101477;0.405637;0.028341;-2.587150;0.986187;-0.347215;-2.348816;0.338586;-0.330515;-2.271315;0.225560;-0.332233;2.175197;8.806103;5.101919;2.772528;8.405074;5.227293;2.818159;8.255167;5.347166
14;-0.759045;0.960120;0.119555;-1.125118;0.569503;0.113568;-0.030559;0.496615;0.116850;-3.034877;0.644703;-0.682301;-2.765681;0.043918;-0.658518;-2.684075;-0.044650;-0.664450;2.121063;8.913385;5.101420;2.761592;8.525372;5.229781;2.803396;8.370571;5.346074
15;-0.835171;0.760479;0.036762;-0.973025;0.457675;0.032468;-0.098198;0.405518;0.036587;-2.595117;0.917420;-0.400480;-2.350660;0.270947;-0.380203;-2.263530;0.156721;-0.384251;2.164370;8.742126;5.106859;2.786089;8.418635;5.234843;2.833415;8.373278;5.348992
16;-0.876891;0.915582;0.118059;-1.150154;0.567349;0.110513;-0.077299;0.504687;0.115322;-2.983981;0.556470;-0.744806;-2.722779;0.015755;-0.718146;-2.638092;-0.058161;-0.726592;2.121063;8.937008;5.098965;2.790901;8.544182;5.226039;2.794537;8.324557;5.343016
17;-0.871539;0.849371;0.038860;-1.084645;0.408800;0.031510;-0.131700;0.347068;0.036732;-2.523517;0.910953;-0.441037;-2.294904;0.298262;-0.419565;-2.237371;0.184759;-0.425086;2.238189;8.859252;5.103379;2.760280;8.459317;5.227350;2.825787;8.263534;5.343561
18;-0.761922;0.989020;0.129378;-1.049705;0.556382;0.120308;-0.017147;0.472359;0.125453;-2.966438;0.583432;-0.808090;-2.689184;0.000180;-0.776657;-2.607177;-0.098843;-0.788495;2.149606;8.901575;5.099310;2.718723;8.455380;5.226187;2.818159;8.352363;5.340033
19;-0.808502;0.829925;0.039069;-1.066663;0.479593;0.031467;-0.103995;0.426441;0.037203;-2.541363;0.913645;-0.491900;-2.282074;0.292772;-0.462559;-2.203973;0.178453;-0.473315;2.149606;8.849409;5.100883;2.784339;8.609362;5.227141;2.803396;8.368849;5.342327
20;-0.682851;0.950681;0.131833;-0.849692;0.561274;0.123719;-0.041425;0.484416;0.128198;-2.943632;0.595211;-0.841198;-2.671206;-0.021550;-0.805570;-2.641876;-0.092248;-0.821026;2.157480;8.793307;5.093362;2.799650;8.473753;5.221215;2.823327;8.299459;5.337953
